match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
54,57,1341846649.710937023,0.115769077,0.228879680,0.451040600,0.016471679,0.005686827,2.896462104,1,306,306,211,377,283,0.053060000,0.120915000,0.376727000,0.533333000,39.940562000,0,0,1,0,0,0-149
55,58,1341846649.746112108,0.110010535,0.229703968,0.451040600,0.014802826,0.007555131,1.959307757,1,321,321,263,438,298,0.049479000,0.102804000,0.853011000,0.566667000,42.287351000,1,0,1,0,0,0-149
56,59,1341846649.778018951,0.115474578,0.234851475,0.451040600,0.009103014,0.006044833,1.505916689,1,388,388,247,426,376,0.063151000,0.059278000,0.836060000,0.600000000,44.336965000,0,0,1,0,0,0-149
57,60,1341846649.810256958,0.128549723,0.243206071,0.451040600,0.014931143,0.006223343,2.399215819,1,374,374,217,446,357,0.060547000,0.074866000,0.622260000,0.633333000,47.215618000,0,0,1,0,0,0-149
58,61,1341846649.846059084,0.143326652,0.252878924,0.451040600,0.012266205,0.008932525,1.373206938,0,247,247,247,463,227,0.042318000,0.170040000,1.654542000,0.633333000,47.484165000,1,0,1,0,0,0-149
59,62,1341846649.878137112,0.129761049,0.252272413,0.451040600,0.019787198,0.006592420,3.001507472,0,255,255,255,454,240,0.042643000,0.145098000,1.268524000,0.600000000,43.334999000,1,0,1,0,0,0-149
60,63,1341846649.914184093,0.110582182,0.251672266,0.451040600,0.022386423,0.006558201,3.413500630,0,244,244,244,442,220,0.038411000,0.143443000,1.666936000,0.566667000,40.195920000,1,0,1,0,0,0-149
61,64,1341846649.952611923,0.123893721,0.255030729,0.451040600,0.035015731,0.010024969,3.492851863,1,307,307,236,420,280,0.045247000,0.127036000,2.180942000,0.533333000,36.586743000,1,1,1,0,0,0-149
62,65,1341846649.978334904,0.121038028,0.258740494,0.451040600,0.009948184,0.008397023,1.184727509,1,379,379,298,475,358,0.059896000,0.084433000,0.776376000,0.533333000,36.207752000,0,0,1,0,0,0-149
63,66,1341846650.014156103,0.123188307,0.264654186,0.451040600,0.014272856,0.008200610,1.740462768,1,373,373,326,505,353,0.052734000,0.112601000,0.312956000,0.533333000,36.533939000,0,0,1,0,0,0-149
