match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
86,89,1341846650.782115936,0.157053248,0.287679290,0.424366525,0.013472856,0.010897706,1.236302014,1,554,554,334,533,542,0.095703000,0.039711000,0.983280000,0.533333000,36.262781000,0,0,1,0,0,0-149
87,90,1341846650.818114996,0.149469629,0.276686041,0.424366525,0.012732199,0.015103311,0.843007122,1,547,547,379,601,530,0.090495000,0.051188000,1.308520000,0.533333000,36.141262000,0,0,1,0,0,0-149
88,91,1341846650.850138903,0.159943782,0.273814909,0.424366525,0.017976795,0.011587493,1.551396339,0,391,391,391,588,367,0.066732000,0.076726000,1.714433000,0.533333000,35.869352000,0,0,1,0,0,0-149
89,92,1341846650.886238098,0.163931893,0.265442080,0.424366525,0.013990043,0.015973102,0.875850109,1,520,520,223,478,506,0.083333000,0.030769000,0.717333000,0.533333000,35.868971000,0,0,1,0,0,0-149
90,93,1341846650.918287992,0.159023579,0.258126379,0.424366525,0.012000631,0.011708544,1.024946529,0,371,371,371,592,352,0.064779000,0.094340000,0.968832000,0.566667000,38.396625000,0,0,1,0,0,0-149
91,94,1341846650.950232983,0.159932976,0.253530216,0.424366525,0.016512564,0.012055289,1.369735994,1,536,536,319,584,512,0.087240000,0.067164000,1.360999000,0.566667000,39.768056000,0,0,1,0,0,0-149
92,95,1341846650.986247063,0.156267747,0.242189153,0.424366525,0.010893631,0.016216350,0.671768369,1,543,543,329,582,525,0.088542000,0.071823000,0.897855000,0.566667000,41.126016000,0,0,1,0,0,0-149
93,96,1341846651.018105984,0.149333431,0.234705575,0.424366525,0.014358566,0.012063996,1.190199868,1,550,550,366,624,530,0.090169000,0.045455000,1.150080000,0.566667000,41.296719000,0,0,1,0,0,0-149
94,97,1341846651.050482035,0.153125299,0.230081659,0.424366525,0.019580843,0.013087399,1.496160076,0,356,356,356,579,335,0.066081000,0.109551000,1.770415000,0.566667000,40.741020000,0,0,1,0,0,0-149
95,98,1341846651.086169004,0.154389579,0.221269225,0.424366525,0.015146462,0.016482112,0.918963704,0,317,317,317,590,299,0.056641000,0.129338000,1.250667000,0.533333000,37.876250000,0,0,1,0,0,0-149
96,99,1341846651.118422985,0.139449227,0.212880229,0.424366525,0.015003221,0.007467931,2.009019633,1,501,501,307,578,487,0.083333000,0.067864000,1.200126000,0.533333000,38.329377000,0,0,1,0,0,0-149
97,100,1341846651.154189110,0.139817979,0.205050247,0.424366525,0.014725868,0.015446359,0.953355320,1,516,516,351,633,499,0.086589000,0.063953000,0.993224000,0.566667000,40.217332000,0,0,1,0,0,0-149
98,101,1341846651.186391115,0.142006042,0.197540697,0.424366525,0.011218638,0.014712240,0.762537754,1,535,535,349,610,530,0.092122000,0.022430000,0.868742000,0.600000000,42.496565000,0,0,1,0,0,0-149
