case,frame_id,current_kf,local_kf,fixed_kf,local_mp,delayed_mp,optimizer_points,optimizer_edges,delayed_ratio,segment
v13_min3,800,447,199,90,4498,1,4497,43006,0.000222321,800-908
v12,806,463,196,99,4502,1,4501,44388,0.000222124,800-908
v13_min3,809,451,185,107,4255,1,4254,40841,0.000235018,800-908
v12,811,467,206,89,4856,1,4855,45617,0.000205931,800-908
v13_min3,813,455,178,114,4784,1,4783,42608,0.000209030,800-908
v12,815,471,201,94,5243,1,5242,45623,0.000190730,800-908
v13_min3,818,459,179,112,5095,3,5092,43489,0.000588813,800-908
v12,819,475,192,105,5301,1,5300,46036,0.000188644,800-908
v13_min3,822,463,153,140,5069,1,5068,41394,0.000197278,800-908
v12,823,479,175,125,5421,1,5420,44463,0.000184468,800-908
v13_min3,827,467,161,133,5305,1,5304,43438,0.000188501,800-908
v12,828,483,175,127,5491,1,5490,46273,0.000182116,800-908
v13_min3,832,471,161,135,5311,1,5310,43889,0.000188288,800-908
v12,833,487,196,108,5813,1,5812,48167,0.000172028,800-908
v13_min3,836,475,144,156,5189,1,5188,43536,0.000192715,800-908
v12,838,491,156,150,5211,1,5210,45408,0.000191902,800-908
v13_min3,840,479,162,142,5106,1,5105,44027,0.000195848,800-908
v12,842,495,144,165,4787,1,4786,41714,0.000208899,800-908
v13_min3,844,483,156,151,5095,1,5094,43452,0.000196271,800-908
v12,846,499,190,123,5681,1,5680,47844,0.000176025,800-908
v13_min3,848,487,200,110,5564,1,5563,46121,0.000179727,800-908
v12,850,503,218,98,6008,1,6007,49992,0.000166445,800-908
v13_min3,852,491,225,88,5814,1,5813,47968,0.000171999,800-908
v12,855,507,239,81,6094,1,6093,51262,0.000164096,800-908
v13_min3,859,495,234,82,5947,1,5946,49862,0.000168152,800-908
v12,860,511,227,97,6068,1,6067,52114,0.000164799,800-908
v13_min3,865,499,220,99,5765,1,5764,49486,0.000173461,800-908
v12,874,515,243,85,6167,1,6166,53454,0.000162153,800-908
v13_min3,874,503,209,109,5503,1,5502,48216,0.000181719,800-908
v12,881,519,220,110,5783,1,5782,51795,0.000172921,800-908
v13_min3,882,507,219,99,5543,1,5542,48032,0.000180408,800-908
v12,894,523,217,116,5855,1,5854,53369,0.000170794,800-908
v13_min3,895,511,202,118,5409,1,5408,47935,0.000184877,800-908
v12,908,525,221,109,5738,1,5737,51260,0.000174277,800-908
v13_min3,908,515,209,113,5235,1,5234,46662,0.000191022,800-908
