case,frame_id,timestamp,is_keyframe_created,num_keyframes,num_mappoints,local_map_matches_before_pose,inlier_map_matches_after_pose,estimated_accum_path_m,estimated_frame_step_m,mask_ratio,ckf_accepted_depth_candidates,ckf_boundary_existing_supported_candidates,ckf_boundary_skipped_new_candidates,ckf_direct_vetoed_candidates,lm_delayed_rejected_boundary_pairs,lm_delayed_support_sum,lm_kept_pairs_after_boundary,lm_kept_pairs_after_delayed_boundary,lm_kept_static_pairs_after_instance,lm_promoted_geom_created,lm_promoted_geom_depth,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_triangulated,lm_quality_depth_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_raw_support_sum,lm_quality_rejected_boundary_pairs,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_score_created,lm_score_geom_evaluated,lm_score_post_geom_rejected,lm_score_support_accepted,lm_score_support_candidates,lm_score_support_rejected,lm_skipped_boundary_pairs,lm_skipped_instance_pairs,lm_support_promoted_boundary_pairs
wrpy_score_v4,134,1341846652.326148,1,71,2987,444,130,2.190174,0.025861,0.224421,447,19,25,195,1,0,8,27,17,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,15,0
wrpy_score_v4,139,1341846652.494100,1,72,2923,384,129,2.298944,0.035104,0.179945,411,8,21,141,7,2,63,146,111,0,1,1,1,1,0,0,1,1,2,1,2,2,7,1,1,0,0,0,1,8,7,7,16,1
wrpy_score_v4,140,1341846652.526469,1,73,2947,443,199,2.309128,0.010184,0.181074,375,8,23,144,5,2,9,71,31,1,1,1,1,1,1,1,1,0,2,2,0,2,5,2,2,1,1,0,1,6,5,5,7,1
wrpy_score_v4,141,1341846652.562089,1,74,3027,437,182,2.332816,0.023688,0.198812,339,21,20,193,2,4,11,65,20,0,1,1,1,1,0,0,1,1,2,4,2,4,2,1,1,0,0,0,1,3,2,2,6,1
wrpy_score_v4,142,1341846652.594254,1,75,3039,430,136,2.340602,0.007786,0.223786,350,14,10,238,0,0,,30,15,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,4,0
wrpy_score_v4,143,1341846652.626356,1,76,2953,391,141,2.392982,0.052380,0.213389,347,9,16,201,3,0,11,38,29,,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,7,0
wrpy_score_v4,144,1341846652.662152,1,77,3051,262,56,2.457152,0.064170,0.229775,327,12,13,215,1,0,3,12,6,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
wrpy_score_v4,145,1341846652.694113,1,78,3100,276,64,2.474064,0.016912,0.240192,319,6,20,248,0,0,,12,10,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,5,0
wrpy_score_v4,146,1341846652.726378,1,79,3116,287,74,2.477192,0.003128,0.174912,393,5,42,205,2,1,0,4,3,,,,,,,,,0,1,0,1,1,2,0,0,0,0,0,0,2,2,2,2,0
wrpy_score_v4,147,1341846652.762129,1,80,3060,268,60,2.518430,0.041238,0.176947,388,13,30,186,0,0,,3,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0
wrpy_score_v4,148,1341846652.794152,1,81,3119,262,53,2.533307,0.014877,0.189681,352,9,29,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrpy_score_v4,149,1341846652.830250,1,82,3145,272,66,2.584833,0.051526,0.105007,360,3,32,178,1,0,42,42,42,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,5,0
wrpy_score_v4,150,1341846652.862014,1,83,3174,292,81,2.604330,0.019497,0.099782,342,4,42,165,2,2,10,12,10,,,,,,,,,0,2,2,0,2,2,0,0,0,0,0,0,2,2,2,1,0
wrpy_score_v4,151,1341846652.894426,1,84,3082,260,75,2.620791,0.016461,0.103626,290,1,23,172,4,1,53,98,98,,,,,,,,,0,0,1,0,1,4,0,0,0,0,0,0,4,4,4,9,0
wrpy_score_v4,152,1341846652.930346,1,85,3113,289,90,2.643174,0.022383,0.096950,313,7,19,175,7,1,60,60,60,,,,,,,,,0,0,1,0,1,7,0,0,0,0,0,0,7,7,7,5,0
wrpy_score_v4,153,1341846652.962213,1,86,3145,255,72,2.681766,0.038592,0.098997,276,4,12,195,1,0,4,34,13,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,4,0
wrpy_score_v4,154,1341846652.994687,1,87,3144,295,85,2.729653,0.047886,0.112819,312,2,13,189,10,19,180,188,177,,,,,,,,,0,12,7,0,19,10,0,0,0,0,0,0,10,10,10,18,0
wrpy_score_v4,155,1341846653.030292,1,88,3114,303,105,2.774627,0.044974,0.086299,275,10,22,171,0,0,,34,30,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,3,0
wrpy_score_v4,156,1341846653.062672,1,89,3153,285,101,2.803505,0.028878,0.083118,297,11,19,171,1,0,38,92,80,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,19,0
wrpy_score_v4,157,1341846653.099024,1,90,3182,281,101,2.833529,0.030024,0.084788,230,1,9,147,1,0,35,107,100,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,4,0
wrpy_score_v4,158,1341846653.130475,1,91,3274,311,127,2.842942,0.009413,0.067051,258,2,13,137,1,1,24,96,72,,,,,,,,,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,9,0
wrpy_score_v4,159,1341846653.162620,1,92,3242,296,125,2.870091,0.027149,0.044525,325,4,14,83,0,2,,76,45,1,1,1,1,1,1,1,1,0,2,2,0,2,0,1,1,1,1,0,1,1,0,,2,1
wrpy_score_v4,160,1341846653.198437,1,93,3328,311,148,2.919595,0.049504,0.048480,322,4,20,87,0,3,,115,75,0,0,1,0,0,0,0,0,0,3,3,0,3,0,2,2,0,0,0,1,1,0,,8,1
wrpy_score_v4,161,1341846653.230042,1,94,3354,335,148,2.941392,0.021797,0.102884,198,5,8,164,2,0,33,171,167,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,13,0
wrpy_score_v4,162,1341846653.262357,1,95,3401,348,146,2.960482,0.019090,0.103190,247,18,26,177,1,3,6,226,175,1,1,1,1,1,1,1,1,0,3,3,0,3,1,2,2,1,1,0,1,2,1,1,7,1
wrpy_score_v4,163,1341846653.298380,1,96,3295,294,143,2.982428,0.021946,0.111296,196,4,21,173,2,1,29,151,151,,,,,,,,,0,1,1,0,1,2,0,0,0,0,0,0,2,2,2,16,0
wrpy_score_v4,164,1341846653.330162,1,97,3375,286,155,2.990900,0.008472,0.105332,177,0,7,153,2,1,34,116,111,,,,,,,,,0,0,1,0,1,2,0,0,0,0,0,0,2,2,2,17,0
wrpy_score_v4,165,1341846653.366319,1,98,3419,313,155,3.001920,0.011021,0.110641,150,4,8,154,1,1,11,54,37,,,,,,,,,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,13,0
