match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
354,0.052358582,0.031821252,-0.020537330,0.085154891,0.073348661,-0.011806230
355,0.046136284,0.035808043,-0.010328241,0.082291054,0.069883247,-0.012407807
356,0.051329409,0.036550280,-0.014779128,0.082970300,0.069488632,-0.013481668
357,0.049435402,0.032240787,-0.017194614,0.082043245,0.071761834,-0.010281411
358,0.043958681,0.037307265,-0.006651416,0.080428817,0.068310223,-0.012118594
359,0.054856303,0.041096084,-0.013760219,0.080250386,0.066814717,-0.013435669
360,0.056057050,0.043545702,-0.012511348,0.079265850,0.064291548,-0.014974302
361,0.044677033,0.035900506,-0.008776527,0.076682113,0.067482129,-0.009199984
362,0.049401189,0.038221125,-0.011180064,0.079009661,0.066917000,-0.012092661
363,0.060147769,0.038367007,-0.021780763,0.075854141,0.065655037,-0.010199103
364,0.046299100,0.030880301,-0.015418799,0.072614265,0.064847219,-0.007767046
365,0.050266862,0.038459282,-0.011807580,0.074543682,0.063057779,-0.011485904
366,0.077360020,0.056814707,-0.020545314,0.072029034,0.059765046,-0.012263988
367,0.053950992,0.060974321,0.007023329,0.068201759,0.056522944,-0.011678815
368,0.050542048,0.044419844,-0.006122204,0.070609338,0.060151452,-0.010457886
369,0.052233100,0.037998781,-0.014234319,0.070175238,0.061052916,-0.009122322
370,0.053374393,0.031213225,-0.022161168,0.071205619,0.063226554,-0.007979064
371,0.044630393,0.032828591,-0.011801802,0.068553750,0.060532234,-0.008021516
372,0.044666712,0.034711106,-0.009955605,0.069231494,0.059517941,-0.009713553
373,0.048352358,0.031662866,-0.016689492,0.071222158,0.062215676,-0.009006481
374,0.047243743,0.032790475,-0.014453268,0.072279828,0.061908547,-0.010371281
375,0.042943970,0.034041379,-0.008902591,0.067879720,0.058401364,-0.009478356
376,0.052988900,0.038691860,-0.014297040,0.070733245,0.059776041,-0.010957203
377,0.048698399,0.028858959,-0.019839440,0.072918523,0.062339657,-0.010578866
378,0.043258374,0.038100039,-0.005158335,0.068792529,0.059817078,-0.008975451
379,0.049448138,0.047682949,-0.001765189,0.067760528,0.053480952,-0.014279576
380,0.048422919,0.038691645,-0.009731274,0.068872257,0.057882750,-0.010989507
381,0.045706833,0.043732640,-0.001974193,0.065392451,0.057524871,-0.007867580
382,0.042362661,0.048511924,0.006149263,0.062272915,0.052455983,-0.009816931
383,0.045197868,0.055011045,0.009813178,0.061435447,0.051378910,-0.010056536
384,0.049925442,0.050485251,0.000559809,0.062510441,0.052794809,-0.009715631
385,0.045866430,0.054852417,0.008985986,0.059869954,0.050297329,-0.009572625
386,0.074068446,0.075966193,0.001897747,0.057238344,0.044849108,-0.012389236
387,0.051242483,0.041749524,-0.009492959,0.060405355,0.052530310,-0.007875045
388,0.041315414,0.044777733,0.003462318,0.063402287,0.050776537,-0.012625750
389,0.060437419,0.052654924,-0.007782495,0.059344318,0.048256572,-0.011087746
390,0.053956992,0.047641640,-0.006315353,0.057637085,0.047911826,-0.009725258
391,0.043269566,0.040896728,-0.002372838,0.061588100,0.051376082,-0.010212017
392,0.039599728,0.029928445,-0.009671283,0.064699824,0.055238782,-0.009461043
393,0.043867140,0.045666121,0.001798980,0.057260152,0.047675717,-0.009584434
394,0.041470190,0.043823832,0.002353642,0.059358394,0.047828740,-0.011529654
395,0.035618993,0.043597533,0.007978540,0.061957421,0.048431053,-0.013526368
396,0.041433828,0.036303795,-0.005130033,0.066119611,0.051971215,-0.014148396
397,0.039107303,0.039962980,0.000855677,0.062666162,0.048841161,-0.013825001
398,0.038853852,0.037813771,-0.001040081,0.063426479,0.050141835,-0.013284644
399,0.040390462,0.043728540,0.003338078,0.060732098,0.047875860,-0.012856238
400,0.053552389,0.066333939,0.012781550,0.059284658,0.046733406,-0.012551252
401,0.045435726,0.039584366,-0.005851360,0.063366774,0.051433033,-0.011933741
402,0.046594643,0.034053607,-0.012541036,0.066364344,0.054364428,-0.011999916
403,0.048328956,0.029731990,-0.018596966,0.069297067,0.056143206,-0.013153861
404,0.058337218,0.040429484,-0.017907734,0.071615572,0.060021006,-0.011594567
405,0.046570758,0.039130889,-0.007439868,0.063339185,0.051454114,-0.011885071
406,0.049375015,0.034566665,-0.014808350,0.064263454,0.052174352,-0.012089102
407,0.049498720,0.035176354,-0.014322366,0.068766597,0.056527478,-0.012239118
408,0.049991990,0.039122460,-0.010869530,0.063906697,0.051226044,-0.012680653
409,0.058867587,0.050187528,-0.008680059,0.058290518,0.047487137,-0.010803381
410,0.056792877,0.057201664,0.000408787,0.055862464,0.047085707,-0.008776757
411,0.056457983,0.058618011,0.002160027,0.057787466,0.048568384,-0.009219082
412,0.054946287,0.055445494,0.000499207,0.056590169,0.048360100,-0.008230069
413,0.050138135,0.051207625,0.001069490,0.055418643,0.048862321,-0.006556323
414,0.037179713,0.048269154,0.011089440,0.057006013,0.049616532,-0.007389481
415,0.036620050,0.052042651,0.015422602,0.056079948,0.048644699,-0.007435249
