match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
187,0.648218938,0.538588543,-0.109630395,0.103679749,0.111779038,0.008099289
188,0.644560051,0.546573168,-0.097986882,0.100783653,0.108705813,0.007922160
189,0.641502758,0.566281847,-0.075220911,0.097936772,0.105547358,0.007610586
190,0.639821959,0.567528579,-0.072293380,0.095356875,0.107104309,0.011747434
191,0.638202470,0.552061767,-0.086140703,0.100659719,0.113866336,0.013206617
192,0.636683364,0.558569949,-0.078113416,0.097707922,0.104316875,0.006608953
193,0.633201207,0.604097707,-0.029103500,0.084098811,0.101423470,0.017324659
194,0.635530048,0.547648480,-0.087881568,0.094488825,0.095849300,0.001360475
195,0.629371011,0.544416808,-0.084954203,0.095293751,0.101799248,0.006505497
196,0.654022495,0.605163880,-0.048858615,0.100645942,0.111120005,0.010474063
197,0.621184748,0.545381241,-0.075803507,0.094638095,0.104373333,0.009735238
198,0.614513918,0.543536708,-0.070977210,0.097593963,0.105732897,0.008138934
199,0.639493833,0.589199614,-0.050294219,0.107077022,0.115232644,0.008155622
200,0.611484478,0.515414049,-0.096070429,0.098492582,0.098201609,-0.000290973
201,0.602604803,0.512766338,-0.089838464,0.097682288,0.096435492,-0.001246796
202,0.615044327,0.526579650,-0.088464677,0.100839272,0.092667660,-0.008171612
203,0.585010176,0.468187789,-0.116822386,0.086323463,0.071712992,-0.014610471
204,0.570696921,0.462286720,-0.108410201,0.082955272,0.072839200,-0.010116072
205,0.580008562,0.449492092,-0.130516469,0.091483629,0.069310229,-0.022173400
206,0.582774217,0.457227570,-0.125546648,0.092439051,0.070933576,-0.021505475
207,0.574282412,0.419616693,-0.154665719,0.091491915,0.059668332,-0.031823582
208,0.560813894,0.429897189,-0.130916705,0.091242916,0.067702851,-0.023540065
209,0.568656353,0.429040702,-0.139615651,0.098633555,0.066319424,-0.032314131
210,0.527334559,0.412014305,-0.115320254,0.086399853,0.062989437,-0.023410416
211,0.518814167,0.397159096,-0.121655071,0.085763114,0.058012943,-0.027750171
212,0.385219754,0.407416116,0.022196362,0.039414650,0.067595546,0.028180896
213,0.392524539,0.414843189,0.022318650,0.046135743,0.073604693,0.027468950
214,0.528955799,0.396242462,-0.132713337,0.101845268,0.070659804,-0.031185464
215,0.399901190,0.234464169,-0.165437022,0.056119368,0.010835995,-0.045283374
216,0.278437710,0.143823434,-0.134614276,0.017045325,0.025139970,0.008094645
217,0.250234527,0.106330332,-0.143904195,0.013924777,0.034547755,0.020622978
218,0.255230810,0.115525163,-0.139705646,0.019481178,0.026113539,0.006632361
219,0.245330438,0.099164134,-0.146166304,0.022904486,0.031569899,0.008665413
220,0.277710086,0.106267065,-0.171443021,0.037266926,0.025609001,-0.011657925
221,0.260098075,0.093241789,-0.166856286,0.034835840,0.022218364,-0.012617476
