match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
239,0.578377292,0.075935930,-0.502441362,0.039254506,0.030986785,-0.008267722
240,0.545824011,0.071744858,-0.474079153,0.037949067,0.028671117,-0.009277950
241,0.523752162,0.071688831,-0.452063331,0.038413366,0.026860184,-0.011553181
242,0.498193935,0.076348754,-0.421845181,0.038356293,0.027771489,-0.010584804
243,0.468896733,0.097491068,-0.371405665,0.037740756,0.035134761,-0.002605995
244,0.459429704,0.101561112,-0.357868593,0.040159736,0.036483625,-0.003676111
245,0.446942312,0.079431628,-0.367510684,0.041345463,0.030554157,-0.010791306
246,0.433783749,0.076785555,-0.356998194,0.043198292,0.029916438,-0.013281854
247,0.427315759,0.058547430,-0.368768329,0.044797583,0.024003206,-0.020794377
248,0.409038318,0.066891853,-0.342146465,0.045570803,0.028063747,-0.017507056
249,0.438165574,0.074418976,-0.363746599,0.049985324,0.031905907,-0.018079417
250,0.437167049,0.076718640,-0.360448409,0.051536772,0.032659819,-0.018876953
251,0.433388595,0.078208337,-0.355180257,0.053133806,0.032251485,-0.020882321
252,0.441391774,0.099243953,-0.342147821,0.055061308,0.048955333,-0.006105976
253,0.435825156,0.091362342,-0.344462814,0.056075488,0.038177050,-0.017898437
254,0.438713832,0.108521963,-0.330191869,0.057383350,0.049744380,-0.007638970
255,0.437833391,0.090870578,-0.346962813,0.059235011,0.044138682,-0.015096329
256,0.431606877,0.100685370,-0.330921506,0.059264473,0.045712304,-0.013552170
257,0.436456315,0.108793963,-0.327662353,0.060773129,0.050088289,-0.010684840
258,0.446153272,0.103820307,-0.342332965,0.063055628,0.049180384,-0.013875244
259,0.447211649,0.093698960,-0.353512689,0.065202896,0.047489196,-0.017713701
260,0.454572477,0.120078486,-0.334493990,0.066864387,0.057263827,-0.009600561
261,0.450610392,0.114317017,-0.336293375,0.066871122,0.053702856,-0.013168266
262,0.451987483,0.109270989,-0.342716494,0.067571509,0.053229741,-0.014341768
263,0.458178153,0.107105507,-0.351072645,0.068471726,0.052588525,-0.015883202
264,0.457351308,0.108722831,-0.348628477,0.068725366,0.052247873,-0.016477493
265,0.455159152,0.092490058,-0.362669094,0.067717352,0.047758256,-0.019959095
266,0.455677637,0.080321585,-0.375356052,0.067782625,0.046170793,-0.021611832
267,0.457796909,0.083432248,-0.374364661,0.067878159,0.047727701,-0.020150458
268,0.455668923,0.060121936,-0.395546987,0.067201421,0.042461714,-0.024739707
269,0.459549241,0.068121998,-0.391427243,0.067483772,0.045767419,-0.021716353
270,0.456354318,0.070389456,-0.385964862,0.068075615,0.047279254,-0.020796361
271,0.440024054,0.049745188,-0.390278865,0.068157478,0.042625125,-0.025532353
272,0.457429374,0.046721667,-0.410707707,0.069664758,0.047015834,-0.022648924
273,0.455176621,0.038853525,-0.416323096,0.069331304,0.045432829,-0.023898474
274,0.450709083,0.040671496,-0.410037587,0.069654532,0.046679515,-0.022975017
275,0.444823319,0.047630246,-0.397193073,0.068548844,0.049051192,-0.019497652
276,0.451896567,0.047756533,-0.404140034,0.069893934,0.048845740,-0.021048194
277,0.442047749,0.053648933,-0.388398815,0.068464440,0.051974335,-0.016490104
278,0.425427209,0.057646782,-0.367780427,0.066570265,0.052974660,-0.013595605
279,0.400505389,0.059952523,-0.340552867,0.064625285,0.054227045,-0.010398240
280,0.359464167,0.055970786,-0.303493381,0.064054500,0.053504943,-0.010549557
281,0.334341003,0.047635252,-0.286705751,0.063667777,0.051318733,-0.012349044
282,0.298726766,0.043874360,-0.254852406,0.063231034,0.047291070,-0.015939964
283,0.269239516,0.050279197,-0.218960319,0.064559971,0.042766678,-0.021793293
284,0.240036266,0.050550114,-0.189486152,0.065832426,0.055369805,-0.010462621
285,0.207310898,0.054162601,-0.153148297,0.066747954,0.050871918,-0.015876035
286,0.179072892,0.058063608,-0.121009284,0.067190036,0.047602295,-0.019587741
287,0.138665055,0.046125385,-0.092539670,0.071087595,0.052660669,-0.018426926
288,0.099006561,0.059911531,-0.039095030,0.073394898,0.041936404,-0.031458494
289,0.083764538,0.050325468,-0.033439071,0.075415867,0.053487179,-0.021928688
290,0.044318684,0.043588039,-0.000730645,0.078317944,0.052483177,-0.025834767
291,0.048718473,0.049259406,0.000540933,0.081429363,0.059885054,-0.021544309
292,0.080831798,0.080903419,0.000071621,0.083350698,0.057892797,-0.025457901
293,0.107154707,0.067240518,-0.039914189,0.089775587,0.045688933,-0.044086654
294,0.174072121,0.033320203,-0.140751918,0.095139120,0.064573278,-0.030565842
295,0.233394845,0.071209636,-0.162185209,0.100080927,0.061175279,-0.038905648
296,0.229733341,0.048372937,-0.181360404,0.104752478,0.061477460,-0.043275018
297,0.197314125,0.040626924,-0.156687201,0.105379264,0.070818731,-0.034560533
298,0.210240316,0.065226610,-0.145013706,0.108705607,0.091286849,-0.017418758
299,0.188433103,0.038967856,-0.149465247,0.111206809,0.082620647,-0.028586162
300,0.186599972,0.131379398,-0.055220574,0.113179750,0.069983067,-0.043196683
301,0.194197163,0.049165390,-0.145031773,0.115214794,0.088950851,-0.026263943
302,0.187783847,0.058112661,-0.129671186,0.116571577,0.093141692,-0.023429884
303,0.197068692,0.111610843,-0.085457849,0.118797309,0.076645848,-0.042151461
304,0.204174454,0.135984545,-0.068189909,0.120081937,0.077022708,-0.043059229
305,0.182824145,0.127675169,-0.055148976,0.120506520,0.068492364,-0.052014156
306,0.189891133,0.104308356,-0.085582777,0.120589185,0.078495175,-0.042094009
307,0.193235254,0.109207992,-0.084027262,0.120450824,0.077508517,-0.042942306
308,0.185679889,0.077617760,-0.108062128,0.119586233,0.078213499,-0.041372734
309,0.184287006,0.086934211,-0.097352794,0.118355447,0.088498461,-0.029856987
310,0.189659051,0.078301046,-0.111358005,0.118807050,0.088387142,-0.030419908
311,0.183190036,0.077460886,-0.105729150,0.118275662,0.076640879,-0.041634783
312,0.153728281,0.060942703,-0.092785578,0.116088835,0.080785528,-0.035303307
313,0.171004489,0.060517088,-0.110487401,0.115891381,0.088256819,-0.027634562
314,0.172295185,0.112563105,-0.059732080,0.115802237,0.109705748,-0.006096489
315,0.144705470,0.107442850,-0.037262619,0.112569493,0.107556997,-0.005012496
316,0.202055287,0.071138532,-0.130916754,0.116323245,0.095438256,-0.020884989
317,0.186632406,0.094831294,-0.091801112,0.116506345,0.099054387,-0.017451958
318,0.157913253,0.092835947,-0.065077307,0.114562347,0.097267114,-0.017295233
319,0.152336962,0.087285719,-0.065051243,0.112855976,0.101807354,-0.011048622
320,0.143369548,0.082287645,-0.061081904,0.112477028,0.095468896,-0.017008131
321,0.140251800,0.069718388,-0.070533412,0.112312432,0.090133044,-0.022179389
322,0.146632225,0.070999679,-0.075632546,0.111066231,0.095574148,-0.015492082
323,0.148923186,0.078508554,-0.070414633,0.110711756,0.096739576,-0.013972180
324,0.134340042,0.062487992,-0.071852050,0.111599755,0.086123886,-0.025475870
325,0.176945029,0.057825910,-0.119119118,0.111324057,0.090036856,-0.021287201
326,0.125992452,0.068644971,-0.057347481,0.110035436,0.092590126,-0.017445310
327,0.106323057,0.071771545,-0.034551511,0.109814080,0.088079861,-0.021734220
328,0.112925226,0.036036150,-0.076889076,0.110339575,0.075327597,-0.035011977
329,0.125976543,0.041524739,-0.084451804,0.111702450,0.072035895,-0.039666555
330,0.109670957,0.051234341,-0.058436616,0.109755192,0.072900703,-0.036854489
331,0.107314231,0.032968015,-0.074346216,0.108618990,0.074554518,-0.034064472
332,0.117943261,0.053661485,-0.064281776,0.109270135,0.079854406,-0.029415729
333,0.096643868,0.068485602,-0.028158266,0.108143118,0.079882886,-0.028260232
334,0.104064209,0.059792439,-0.044271770,0.107843971,0.081494914,-0.026349057
335,0.114029346,0.045799693,-0.068229653,0.108553297,0.080559842,-0.027993455
336,0.108087966,0.062349498,-0.045738468,0.109484184,0.081970386,-0.027513799
